date,lake,metric,mean,median,p25,p75
2025-02-07,Amatitlán,chl,86.8472671508789,81.32928466796875,59.18868637084961,105.42218780517578
2025-02-07,Amatitlán,ndvi,-0.3998163342475891,-0.45864662528038025,-0.5769230127334595,-0.3333333134651184
2025-02-07,Amatitlán,ndwi,482.33526611328125,0.6994818449020386,0.5982435941696167,0.780701756477356
2025-02-27,Amatitlán,chl,80.73863983154297,76.7872543334961,50.4494743347168,109.99186706542969
2025-02-27,Amatitlán,ndvi,-0.02352950908243656,-0.05513743683695793,-0.11694508045911789,0.030609123408794403
2025-02-27,Amatitlán,ndwi,0.2993161380290985,0.3356039822101593,0.20379148423671722,0.4102373421192169
2025-03-04,Amatitlán,chl,164.7839813232422,149.9522705078125,102.26915740966797,225.80870056152344
2025-03-04,Amatitlán,ndvi,0.12166984379291534,0.11340206116437912,-0.03350970894098282,0.2855680584907532
2025-03-04,Amatitlán,ndwi,0.2615657150745392,0.2778586745262146,0.140840083360672,0.39589443802833557
2025-03-09,Amatitlán,chl,68.33512878417969,59.4509162902832,34.40215301513672,90.76483154296875
2025-03-09,Amatitlán,ndvi,-0.008773521520197392,-0.0625000074505806,-0.1803278625011444,0.09480120986700058
2025-03-09,Amatitlán,ndwi,0.28302788734436035,0.31537240743637085,0.18132297694683075,0.45077720284461975
2025-03-14,Amatitlán,chl,121.94044494628906,117.21316528320312,78.51155853271484,155.11375427246094
2025-03-14,Amatitlán,ndvi,0.04574526101350784,0.040614742785692215,-0.02668437361717224,0.09855453670024872
2025-03-14,Amatitlán,ndwi,0.33658164739608765,0.34385964274406433,0.27659574151039124,0.40715500712394714
2025-03-19,Amatitlán,chl,112.37491607666016,118.24797058105469,72.1857681274414,145.40895080566406
2025-03-19,Amatitlán,ndvi,0.06615433096885681,0.042307689785957336,-0.14022991061210632,0.2452470362186432
2025-03-19,Amatitlán,ndwi,0.29534873366355896,0.349056601524353,0.1550181806087494,0.4733542203903198
2025-03-24,Amatitlán,chl,181.10977172851562,185.5111846923828,111.43889617919922,243.4078826904297
2025-03-24,Amatitlán,ndvi,0.10167578607797623,0.111111119389534,-0.06376811861991882,0.2939152121543884
2025-03-24,Amatitlán,ndwi,0.3102976679801941,0.3437499701976776,0.1333802044391632,0.47614264488220215
2025-03-26,Amatitlán,chl,55.20726776123047,54.67642593383789,46.94219970703125,62.46633529663086
2025-03-26,Amatitlán,ndvi,-0.1540486365556717,-0.13898304104804993,-0.20610688626766205,-0.07852411270141602
2025-03-26,Amatitlán,ndwi,0.39108210802078247,0.3826310932636261,0.31213873624801636,0.45420557260513306
2025-04-03,Amatitlán,chl,63.560264587402344,44.08473205566406,35.44432830810547,72.74024200439453
2025-04-03,Amatitlán,ndvi,-0.13438257575035095,-0.15981733798980713,-0.23076923191547394,-0.09853820502758026
2025-04-03,Amatitlán,ndwi,0.4514125883579254,0.4773218333721161,0.4100809693336487,0.5439814925193787
2025-04-13,Amatitlán,chl,32.7636833190918,19.910097122192383,18.05940818786621,52.12651824951172
2025-04-13,Amatitlán,ndvi,-0.1304291933774948,-0.1275000125169754,-0.161041259765625,-0.09481987357139587
2025-04-13,Amatitlán,ndwi,0.34761905670166016,0.33841758966445923,0.3012397885322571,0.3771786093711853
2025-04-15,Amatitlán,chl,43.77457046508789,31.441057205200195,20.01119613647461,63.4950065612793
2025-04-15,Amatitlán,ndvi,-0.1378781795501709,-0.14495863020420074,-0.19418759644031525,-0.0830945149064064
2025-04-15,Amatitlán,ndwi,0.3547859191894531,0.356097549200058,0.3084353506565094,0.3956044018268585
2025-04-16,Amatitlán,chl,44.747135162353516,35.45166015625,20.074874877929688,64.43698120117188
2025-04-16,Amatitlán,ndvi,-0.13509100675582886,-0.14145143330097198,-0.19086024165153503,-0.0803571343421936
2025-04-16,Amatitlán,ndwi,0.3535749614238739,0.3552941083908081,0.3066960871219635,0.39393940567970276
2025-04-18,Amatitlán,chl,39.344852447509766,21.22694969177246,18.861637115478516,52.68608093261719
2025-04-18,Amatitlán,ndvi,-0.16178978979587555,-0.20485380291938782,-0.234375,-0.07518798112869263
2025-04-18,Amatitlán,ndwi,0.36399656534194946,0.3707614541053772,0.2946273684501648,0.4254743158817291
2025-04-28,Amatitlán,chl,49.592899322509766,25.750507354736328,22.02686882019043,73.44465637207031
2025-04-28,Amatitlán,ndvi,-0.10319264978170395,-0.13478262722492218,-0.178920716047287,-0.033341292291879654
2025-04-28,Amatitlán,ndwi,0.3473382890224457,0.35973596572875977,0.27175936102867126,0.41982775926589966
2025-05-03,Amatitlán,chl,39.283042907714844,30.702123641967773,26.70916748046875,41.89181900024414
2025-05-03,Amatitlán,ndvi,-0.0833001360297203,-0.10569106787443161,-0.160714253783226,-0.048835448920726776
2025-05-03,Amatitlán,ndwi,0.30710065364837646,0.3202812671661377,0.2518848776817322,0.3868921995162964
2025-05-13,Amatitlán,chl,74.63385009765625,66.66142272949219,49.76078414916992,93.4769515991211
2025-05-13,Amatitlán,ndvi,0.009173686616122723,-0.005110723432153463,-0.09568481147289276,0.09608478099107742
2025-05-13,Amatitlán,ndwi,0.29290977120399475,0.2996751070022583,0.19282777607440948,0.40549540519714355
2025-05-28,Amatitlán,chl,38.88819885253906,37.95558547973633,29.357715606689453,47.2249641418457
2025-05-28,Amatitlán,ndvi,-0.2137964814901352,-0.2141326367855072,-0.29486313462257385,-0.13240322470664978
2025-05-28,Amatitlán,ndwi,0.411249041557312,0.4160107970237732,0.3259317874908447,0.49876055121421814
